日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-02-01,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-31,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-30,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-29,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-26,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-25,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-24,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-23,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-22,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-19,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-18,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-17,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-16,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-15,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-12,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-11,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-10,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-09,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-08,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-05,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-04,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-03,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
2018-01-02,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8,None
